subst Noun
depr DepreciativeNoun
sdef DefectiveNoun
xxs ForeignNominal
num Numeral
numcol CollectiveNumeral
numsgen SingleGenderNumeral
nummgen MultipleGenderNumeral
numdef DefectiveNumeral
numind IndeterminateNumeral
adj Adjective
adjng NonGradableAdjective
adja PreadjectivalAdjective
adjp PostprepositionalAdjective
adjdef DefectiveAdjective
adv Adverb
advdef DefectiveAdverb
ppron12 GenderlessPronoun
ppron3 ThirdPersonPronoun
siebie ReflexivePronoun
pronbgen BigenderPronoun
prondef DefectivePronoun
imppron ImpersonalPronoun
ppron PersonalPronoun
fin NonpastVerb
bedzie FutureVerb
aglt AglutinativeVerb
acond AgultinativeConditional
praet PastVerb
impt ImperativeMoodVerb
imps ImpersonalMoodVerb
inf InfinitiveVerb
pcon PresentParticiple
pant PerfectParticiple
pact ActiveParticiple
ppas PassiveParticiple
ger Gerund
imptdef ImperativeVerb
anl AnalyticVerb
impsdef ImpersonalVerb
prep Preposition
conj Conjunction
qub Invariable
xxx Foreign
ign Ignored
interp Punctuation
brev Abbreviation
